first_name,last_name,num_publications,mesh_term,pmid
Chunhua,Weng,344,Terminology as Topic,30815071
Chunhua,Weng,344,User-Computer Interface,30815071
Chunhua,Weng,344,Peer Group,30102173
Chunhua,Weng,344,Peer Review,30102173
Chunhua,Weng,344,"Peer Review, Research",30102173
Chunhua,Weng,344,Primary Health Care,30102173
Chunhua,Weng,344,Publications,30102173
Chunhua,Weng,344,Peer Group,30102173
Chunhua,Weng,344,Peer Review,30102173
Chunhua,Weng,344,"Peer Review, Research",30102173
Chunhua,Weng,344,Primary Health Care,30102173
Chunhua,Weng,344,Publications,30102173
Chunhua,Weng,344,Genetic Testing,29334348
Chunhua,Weng,344,Health Information Interoperability,29334348
Chunhua,Weng,344,Humans,29334348
Chunhua,Weng,344,Precision Medicine,29334348
Chunhua,Weng,344,Registries,29334348
Chunhua,Weng,344,Systematized Nomenclature of Medicine,29334348
Chunhua,Weng,344,Genetic Testing,29334348
Chunhua,Weng,344,Health Information Interoperability,29334348
Chunhua,Weng,344,Humans,29334348
Chunhua,Weng,344,Precision Medicine,29334348
Chunhua,Weng,344,Registries,29334348
Chunhua,Weng,344,Systematized Nomenclature of Medicine,29334348
Chunhua,Weng,344,Cohort Studies,29295240
Chunhua,Weng,344,"Databases, Factual",29295240
Chunhua,Weng,344,Electronic Health Records,29295240
Chunhua,Weng,344,Humans,29295240
Chunhua,Weng,344,Natural Language Processing,29295240
Chunhua,Weng,344,Reference Standards,29295240
Chunhua,Weng,344,Cohort Studies,29295240
Chunhua,Weng,344,"Databases, Factual",29295240
Chunhua,Weng,344,Electronic Health Records,29295240
Chunhua,Weng,344,Humans,29295240
Chunhua,Weng,344,Natural Language Processing,29295240
Chunhua,Weng,344,Reference Standards,29295240
Chunhua,Weng,344,Evidence-Based Medicine,28541552
Chunhua,Weng,344,Medical Informatics,28541552
Chunhua,Weng,344,"Peer Review, Research",28541552
Chunhua,Weng,344,Periodicals as Topic,28541552
Chunhua,Weng,344,Publishing,28541552
Chunhua,Weng,344,"Translational Research, Biomedical",28541552
Chunhua,Weng,344,Evidence-Based Medicine,28541552
Chunhua,Weng,344,Medical Informatics,28541552
Chunhua,Weng,344,"Peer Review, Research",28541552
Chunhua,Weng,344,Periodicals as Topic,28541552
Chunhua,Weng,344,Publishing,28541552
Chunhua,Weng,344,"Translational Research, Biomedical",28541552
Chunhua,Weng,344,Cluster Analysis,27597572
Chunhua,Weng,344,Electronic Data Processing,27597572
Chunhua,Weng,344,Humans,27597572
Chunhua,Weng,344,Knowledge,27597572
Chunhua,Weng,344,MEDLINE,27597572
Chunhua,Weng,344,Semantics,27597572
Chunhua,Weng,344,Unsupervised Machine Learning,27597572
Chunhua,Weng,344,Cluster Analysis,27597572
Chunhua,Weng,344,Electronic Data Processing,27597572
Chunhua,Weng,344,Humans,27597572
Chunhua,Weng,344,Knowledge,27597572
Chunhua,Weng,344,MEDLINE,27597572
Chunhua,Weng,344,Semantics,27597572
Chunhua,Weng,344,Unsupervised Machine Learning,27597572
Chunhua,Weng,344,Biomedical Research,27067901
Chunhua,Weng,344,Communication,27067901
Chunhua,Weng,344,Electronic Health Records,27067901
Chunhua,Weng,344,Humans,27067901
Chunhua,Weng,344,Medical Informatics,27067901
Chunhua,Weng,344,Research Personnel,27067901
Chunhua,Weng,344,Biomedical Research,27067901
Chunhua,Weng,344,Communication,27067901
Chunhua,Weng,344,Electronic Health Records,27067901
Chunhua,Weng,344,Humans,27067901
Chunhua,Weng,344,Medical Informatics,27067901
Chunhua,Weng,344,Research Personnel,27067901
Chunhua,Weng,344,Algorithms,26940748
Chunhua,Weng,344,Data Mining,26940748
Chunhua,Weng,344,"Diabetes Mellitus, Type 1",26940748
Chunhua,Weng,344,"Diabetes Mellitus, Type 2",26940748
Chunhua,Weng,344,Glycated Hemoglobin,26940748
Chunhua,Weng,344,Humans,26940748
Chunhua,Weng,344,"Numerical Analysis, Computer-Assisted",26940748
Chunhua,Weng,344,User-Computer Interface,26940748
Chunhua,Weng,344,Algorithms,26940748
Chunhua,Weng,344,Data Mining,26940748
Chunhua,Weng,344,"Diabetes Mellitus, Type 1",26940748
Chunhua,Weng,344,"Diabetes Mellitus, Type 2",26940748
Chunhua,Weng,344,Glycated Hemoglobin,26940748
Chunhua,Weng,344,Humans,26940748
Chunhua,Weng,344,"Numerical Analysis, Computer-Assisted",26940748
Chunhua,Weng,344,User-Computer Interface,26940748
Chunhua,Weng,344,Clinical Trials as Topic,26851401
Chunhua,Weng,344,Data Mining,26851401
Chunhua,Weng,344,Drug Labeling,26851401
Chunhua,Weng,344,Humans,26851401
Chunhua,Weng,344,Information Storage and Retrieval,26851401
Chunhua,Weng,344,Medical Informatics,26851401
Chunhua,Weng,344,"Models, Statistical",26851401
Chunhua,Weng,344,Pharmacovigilance,26851401
Chunhua,Weng,344,"Product Surveillance, Postmarketing",26851401
Chunhua,Weng,344,Clinical Trials as Topic,26851401
Chunhua,Weng,344,Data Mining,26851401
Chunhua,Weng,344,Drug Labeling,26851401
Chunhua,Weng,344,Humans,26851401
Chunhua,Weng,344,Information Storage and Retrieval,26851401
Chunhua,Weng,344,Medical Informatics,26851401
Chunhua,Weng,344,"Models, Statistical",26851401
Chunhua,Weng,344,Pharmacovigilance,26851401
Chunhua,Weng,344,"Product Surveillance, Postmarketing",26851401
Chunhua,Weng,344,Clinical Trials as Topic,26776188
Chunhua,Weng,344,Computational Biology,26776188
Chunhua,Weng,344,Eligibility Determination,26776188
Chunhua,Weng,344,Encyclopedias as Topic,26776188
Chunhua,Weng,344,Humans,26776188
Chunhua,Weng,344,Knowledge Bases,26776188
Chunhua,Weng,344,Mental Disorders,26776188
Chunhua,Weng,344,Precision Medicine,26776188
Chunhua,Weng,344,Randomized Controlled Trials as Topic,26776188
Chunhua,Weng,344,Clinical Trials as Topic,26776188
Chunhua,Weng,344,Computational Biology,26776188
Chunhua,Weng,344,Eligibility Determination,26776188
Chunhua,Weng,344,Encyclopedias as Topic,26776188
Chunhua,Weng,344,Humans,26776188
Chunhua,Weng,344,Knowledge Bases,26776188
Chunhua,Weng,344,Mental Disorders,26776188
Chunhua,Weng,344,Precision Medicine,26776188
Chunhua,Weng,344,Randomized Controlled Trials as Topic,26776188
Chunhua,Weng,344,Biomedical Research,26549161
Chunhua,Weng,344,Clinical Studies as Topic,26549161
Chunhua,Weng,344,Humans,26549161
Chunhua,Weng,344,Medical Informatics,26549161
Chunhua,Weng,344,Patient Selection,26549161
Chunhua,Weng,344,Biomedical Research,26549161
Chunhua,Weng,344,Clinical Studies as Topic,26549161
Chunhua,Weng,344,Humans,26549161
Chunhua,Weng,344,Medical Informatics,26549161
Chunhua,Weng,344,Patient Selection,26549161
Chunhua,Weng,344,Biomedical Research,26262323
Chunhua,Weng,344,Computer Literacy,26262323
Chunhua,Weng,344,Electronic Health Records,26262323
Chunhua,Weng,344,"Health Knowledge, Attitudes, Practice",26262323
Chunhua,Weng,344,Professional Competence,26262323
Chunhua,Weng,344,Software,26262323
Chunhua,Weng,344,"Translational Research, Biomedical",26262323
Chunhua,Weng,344,Utilization Review,26262323
Chunhua,Weng,344,Web Browser,26262323
Chunhua,Weng,344,Biomedical Research,26262323
Chunhua,Weng,344,Computer Literacy,26262323
Chunhua,Weng,344,Electronic Health Records,26262323
Chunhua,Weng,344,"Health Knowledge, Attitudes, Practice",26262323
Chunhua,Weng,344,Professional Competence,26262323
Chunhua,Weng,344,Software,26262323
Chunhua,Weng,344,"Translational Research, Biomedical",26262323
Chunhua,Weng,344,Utilization Review,26262323
Chunhua,Weng,344,Web Browser,26262323
Chunhua,Weng,344,Bacterial Infections,26212414
Chunhua,Weng,344,Biological Ontologies,26212414
Chunhua,Weng,344,"Decision Support Systems, Clinical",26212414
Chunhua,Weng,344,Electronic Health Records,26212414
Chunhua,Weng,344,Humans,26212414
Chunhua,Weng,344,Information Storage and Retrieval,26212414
Chunhua,Weng,344,Knowledge,26212414
Chunhua,Weng,344,Bacterial Infections,26212414
Chunhua,Weng,344,Biological Ontologies,26212414
Chunhua,Weng,344,"Decision Support Systems, Clinical",26212414
Chunhua,Weng,344,Electronic Health Records,26212414
Chunhua,Weng,344,Humans,26212414
Chunhua,Weng,344,Information Storage and Retrieval,26212414
Chunhua,Weng,344,Knowledge,26212414
Chunhua,Weng,344,Artificial Intelligence,25769682
Chunhua,Weng,344,Electronic Health Records,25769682
Chunhua,Weng,344,Eligibility Determination,25769682
Chunhua,Weng,344,Humans,25769682
Chunhua,Weng,344,Information Storage and Retrieval,25769682
Chunhua,Weng,344,Patient Selection,25769682
Chunhua,Weng,344,ROC Curve,25769682
Chunhua,Weng,344,Randomized Controlled Trials as Topic,25769682
Chunhua,Weng,344,Artificial Intelligence,25769682
Chunhua,Weng,344,Electronic Health Records,25769682
Chunhua,Weng,344,Eligibility Determination,25769682
Chunhua,Weng,344,Humans,25769682
Chunhua,Weng,344,Information Storage and Retrieval,25769682
Chunhua,Weng,344,Patient Selection,25769682
Chunhua,Weng,344,ROC Curve,25769682
Chunhua,Weng,344,Randomized Controlled Trials as Topic,25769682
Chunhua,Weng,344,Academic Medical Centers,26958302
Chunhua,Weng,344,Breast Neoplasms,26958302
Chunhua,Weng,344,Clinical Trials as Topic,26958302
Chunhua,Weng,344,Eligibility Determination,26958302
Chunhua,Weng,344,Humans,26958302
Chunhua,Weng,344,Natural Language Processing,26958302
Chunhua,Weng,344,New York,26958302
Chunhua,Weng,344,Patient Selection,26958302
Chunhua,Weng,344,Research Design,26958302
Chunhua,Weng,344,Research Personnel,26958302
Chunhua,Weng,344,Academic Medical Centers,26958302
Chunhua,Weng,344,Breast Neoplasms,26958302
Chunhua,Weng,344,Clinical Trials as Topic,26958302
Chunhua,Weng,344,Eligibility Determination,26958302
Chunhua,Weng,344,Humans,26958302
Chunhua,Weng,344,Natural Language Processing,26958302
Chunhua,Weng,344,New York,26958302
Chunhua,Weng,344,Patient Selection,26958302
Chunhua,Weng,344,Research Design,26958302
Chunhua,Weng,344,Research Personnel,26958302
Chunhua,Weng,344,Bias,26958300
Chunhua,Weng,344,Blood Glucose,26958300
Chunhua,Weng,344,Diabetes Mellitus,26958300
Chunhua,Weng,344,Humans,26958300
Chunhua,Weng,344,Hypoglycemic Agents,26958300
Chunhua,Weng,344,International Classification of Diseases,26958300
Chunhua,Weng,344,Bias,26958300
Chunhua,Weng,344,Blood Glucose,26958300
Chunhua,Weng,344,Diabetes Mellitus,26958300
Chunhua,Weng,344,Humans,26958300
Chunhua,Weng,344,Hypoglycemic Agents,26958300
Chunhua,Weng,344,International Classification of Diseases,26958300
Chunhua,Weng,344,Clinical Trials as Topic,26958204
Chunhua,Weng,344,Comprehension,26958204
Chunhua,Weng,344,Eligibility Determination,26958204
Chunhua,Weng,344,Humans,26958204
Chunhua,Weng,344,Natural Language Processing,26958204
Chunhua,Weng,344,Reading,26958204
Chunhua,Weng,344,Search Engine,26958204
Chunhua,Weng,344,Clinical Trials as Topic,26958204
Chunhua,Weng,344,Comprehension,26958204
Chunhua,Weng,344,Eligibility Determination,26958204
Chunhua,Weng,344,Humans,26958204
Chunhua,Weng,344,Natural Language Processing,26958204
Chunhua,Weng,344,Reading,26958204
Chunhua,Weng,344,Search Engine,26958204
Chunhua,Weng,344,Adult,24551421
Chunhua,Weng,344,Aged,24551421
Chunhua,Weng,344,Analysis of Variance,24551421
Chunhua,Weng,344,Anesthesiology,24551421
Chunhua,Weng,344,Electronic Health Records,24551421
Chunhua,Weng,344,Female,24551421
Chunhua,Weng,344,Health Status,24551421
Chunhua,Weng,344,Humans,24551421
Chunhua,Weng,344,Male,24551421
Chunhua,Weng,344,Middle Aged,24551421
Chunhua,Weng,344,Patients,24551421
Chunhua,Weng,344,Research Design,24551421
Chunhua,Weng,344,"Societies, Medical",24551421
Chunhua,Weng,344,United States,24551421
Chunhua,Weng,344,Adult,24551421
Chunhua,Weng,344,Aged,24551421
Chunhua,Weng,344,Analysis of Variance,24551421
Chunhua,Weng,344,Anesthesiology,24551421
Chunhua,Weng,344,Electronic Health Records,24551421
Chunhua,Weng,344,Female,24551421
Chunhua,Weng,344,Health Status,24551421
Chunhua,Weng,344,Humans,24551421
Chunhua,Weng,344,Male,24551421
Chunhua,Weng,344,Middle Aged,24551421
Chunhua,Weng,344,Patients,24551421
Chunhua,Weng,344,Research Design,24551421
Chunhua,Weng,344,"Societies, Medical",24551421
Chunhua,Weng,344,United States,24551421
Chunhua,Weng,344,Adult,25954446
Chunhua,Weng,344,Algorithms,25954446
Chunhua,Weng,344,Diabetes Mellitus,25954446
Chunhua,Weng,344,Electronic Health Records,25954446
Chunhua,Weng,344,Female,25954446
Chunhua,Weng,344,Humans,25954446
Chunhua,Weng,344,Male,25954446
Chunhua,Weng,344,New York City,25954446
Chunhua,Weng,344,Phenotype,25954446
Chunhua,Weng,344,Self Report,25954446
Chunhua,Weng,344,Sensitivity and Specificity,25954446
Chunhua,Weng,344,Adult,25954446
Chunhua,Weng,344,Algorithms,25954446
Chunhua,Weng,344,Diabetes Mellitus,25954446
Chunhua,Weng,344,Electronic Health Records,25954446
Chunhua,Weng,344,Female,25954446
Chunhua,Weng,344,Humans,25954446
Chunhua,Weng,344,Male,25954446
Chunhua,Weng,344,New York City,25954446
Chunhua,Weng,344,Phenotype,25954446
Chunhua,Weng,344,Self Report,25954446
Chunhua,Weng,344,Sensitivity and Specificity,25954446
Chunhua,Weng,344,Clinical Trials as Topic,24036004
Chunhua,Weng,344,Data Mining,24036004
Chunhua,Weng,344,Eligibility Determination,24036004
Chunhua,Weng,344,Humans,24036004
Chunhua,Weng,344,Clinical Trials as Topic,24036004
Chunhua,Weng,344,Data Mining,24036004
Chunhua,Weng,344,Eligibility Determination,24036004
Chunhua,Weng,344,Humans,24036004
Chunhua,Weng,344,Biological Ontologies,23920980
Chunhua,Weng,344,Computer-Assisted Instruction,23920980
Chunhua,Weng,344,"Databases, Factual",23920980
Chunhua,Weng,344,Information Dissemination,23920980
Chunhua,Weng,344,Information Storage and Retrieval,23920980
Chunhua,Weng,344,Medical Informatics,23920980
Chunhua,Weng,344,Natural Language Processing,23920980
Chunhua,Weng,344,Research Design,23920980
Chunhua,Weng,344,Terminology as Topic,23920980
Chunhua,Weng,344,Universities,23920980
Chunhua,Weng,344,Biological Ontologies,23920980
Chunhua,Weng,344,Computer-Assisted Instruction,23920980
Chunhua,Weng,344,"Databases, Factual",23920980
Chunhua,Weng,344,Information Dissemination,23920980
Chunhua,Weng,344,Information Storage and Retrieval,23920980
Chunhua,Weng,344,Medical Informatics,23920980
Chunhua,Weng,344,Natural Language Processing,23920980
Chunhua,Weng,344,Research Design,23920980
Chunhua,Weng,344,Terminology as Topic,23920980
Chunhua,Weng,344,Universities,23920980
Chunhua,Weng,344,Data Mining,23920601
Chunhua,Weng,344,Disease,23920601
Chunhua,Weng,344,Electronic Health Records,23920601
Chunhua,Weng,344,Eligibility Determination,23920601
Chunhua,Weng,344,Humans,23920601
Chunhua,Weng,344,Patient Selection,23920601
Chunhua,Weng,344,Randomized Controlled Trials as Topic,23920601
Chunhua,Weng,344,Registries,23920601
Chunhua,Weng,344,United States,23920601
Chunhua,Weng,344,Data Mining,23920601
Chunhua,Weng,344,Disease,23920601
Chunhua,Weng,344,Electronic Health Records,23920601
Chunhua,Weng,344,Eligibility Determination,23920601
Chunhua,Weng,344,Humans,23920601
Chunhua,Weng,344,Patient Selection,23920601
Chunhua,Weng,344,Randomized Controlled Trials as Topic,23920601
Chunhua,Weng,344,Registries,23920601
Chunhua,Weng,344,United States,23920601
Chunhua,Weng,344,Clinical Trials as Topic,23916863
Chunhua,Weng,344,Humans,23916863
Chunhua,Weng,344,Treatment Outcome,23916863
Chunhua,Weng,344,Clinical Trials as Topic,23916863
Chunhua,Weng,344,Humans,23916863
Chunhua,Weng,344,Treatment Outcome,23916863
Chunhua,Weng,344,Algorithms,22846169
Chunhua,Weng,344,Clinical Trials as Topic,22846169
Chunhua,Weng,344,Cooperative Behavior,22846169
Chunhua,Weng,344,Humans,22846169
Chunhua,Weng,344,Information Storage and Retrieval,22846169
Chunhua,Weng,344,Man-Machine Systems,22846169
Chunhua,Weng,344,Patient Selection,22846169
Chunhua,Weng,344,Unified Medical Language System,22846169
Chunhua,Weng,344,Algorithms,22846169
Chunhua,Weng,344,Clinical Trials as Topic,22846169
Chunhua,Weng,344,Cooperative Behavior,22846169
Chunhua,Weng,344,Humans,22846169
Chunhua,Weng,344,Information Storage and Retrieval,22846169
Chunhua,Weng,344,Man-Machine Systems,22846169
Chunhua,Weng,344,Patient Selection,22846169
Chunhua,Weng,344,Unified Medical Language System,22846169
Chunhua,Weng,344,Data Collection,22733976
Chunhua,Weng,344,Electronic Health Records,22733976
Chunhua,Weng,344,Humans,22733976
Chunhua,Weng,344,Information Dissemination,22733976
Chunhua,Weng,344,Quality Control,22733976
Chunhua,Weng,344,Reproducibility of Results,22733976
Chunhua,Weng,344,Research Design,22733976
Chunhua,Weng,344,Data Collection,22733976
Chunhua,Weng,344,Electronic Health Records,22733976
Chunhua,Weng,344,Humans,22733976
Chunhua,Weng,344,Information Dissemination,22733976
Chunhua,Weng,344,Quality Control,22733976
Chunhua,Weng,344,Reproducibility of Results,22733976
Chunhua,Weng,344,Research Design,22733976
Chunhua,Weng,344,Biomedical Research,22523344
Chunhua,Weng,344,Humans,22523344
Chunhua,Weng,344,Medical Informatics,22523344
Chunhua,Weng,344,"Models, Theoretical",22523344
Chunhua,Weng,344,"Translational Research, Biomedical",22523344
Chunhua,Weng,344,Biomedical Research,22523344
Chunhua,Weng,344,Humans,22523344
Chunhua,Weng,344,Medical Informatics,22523344
Chunhua,Weng,344,"Models, Theoretical",22523344
Chunhua,Weng,344,"Translational Research, Biomedical",22523344
Chunhua,Weng,344,Algorithms,21689783
Chunhua,Weng,344,Artificial Intelligence,21689783
Chunhua,Weng,344,Biomedical Research,21689783
Chunhua,Weng,344,Cluster Analysis,21689783
Chunhua,Weng,344,Semantics,21689783
Chunhua,Weng,344,Unified Medical Language System,21689783
Chunhua,Weng,344,Algorithms,21689783
Chunhua,Weng,344,Artificial Intelligence,21689783
Chunhua,Weng,344,Biomedical Research,21689783
Chunhua,Weng,344,Cluster Analysis,21689783
Chunhua,Weng,344,Semantics,21689783
Chunhua,Weng,344,Unified Medical Language System,21689783
Chunhua,Weng,344,Bayes Theorem,21642013
Chunhua,Weng,344,"Databases, Factual",21642013
Chunhua,Weng,344,Electronic Health Records,21642013
Chunhua,Weng,344,Humans,21642013
Chunhua,Weng,344,Pancreatic Neoplasms,21642013
Chunhua,Weng,344,PubMed,21642013
Chunhua,Weng,344,Risk Factors,21642013
Chunhua,Weng,344,Bayes Theorem,21642013
Chunhua,Weng,344,"Databases, Factual",21642013
Chunhua,Weng,344,Electronic Health Records,21642013
Chunhua,Weng,344,Humans,21642013
Chunhua,Weng,344,Pancreatic Neoplasms,21642013
Chunhua,Weng,344,PubMed,21642013
Chunhua,Weng,344,Risk Factors,21642013
Chunhua,Weng,344,Biomedical Research,21347026
Chunhua,Weng,344,Cluster Analysis,21347026
Chunhua,Weng,344,Humans,21347026
Chunhua,Weng,344,"Models, Theoretical",21347026
Chunhua,Weng,344,Natural Language Processing,21347026
Chunhua,Weng,344,Semantics,21347026
Chunhua,Weng,344,Unified Medical Language System,21347026
Chunhua,Weng,344,Biomedical Research,21347026
Chunhua,Weng,344,Cluster Analysis,21347026
Chunhua,Weng,344,Humans,21347026
Chunhua,Weng,344,"Models, Theoretical",21347026
Chunhua,Weng,344,Natural Language Processing,21347026
Chunhua,Weng,344,Semantics,21347026
Chunhua,Weng,344,Unified Medical Language System,21347026
Chunhua,Weng,344,Humans,21346947
Chunhua,Weng,344,Information Storage and Retrieval,21346947
Chunhua,Weng,344,Natural Language Processing,21346947
Chunhua,Weng,344,Pilot Projects,21346947
Chunhua,Weng,344,Software,21346947
Chunhua,Weng,344,Unified Medical Language System,21346947
Chunhua,Weng,344,Humans,21346947
Chunhua,Weng,344,Information Storage and Retrieval,21346947
Chunhua,Weng,344,Natural Language Processing,21346947
Chunhua,Weng,344,Pilot Projects,21346947
Chunhua,Weng,344,Software,21346947
Chunhua,Weng,344,Unified Medical Language System,21346947
Chunhua,Weng,344,Computer Systems,19562959
Chunhua,Weng,344,Electronic Health Records,19562959
Chunhua,Weng,344,Hospital Information Systems,19562959
Chunhua,Weng,344,Humans,19562959
Chunhua,Weng,344,Military Medicine,19562959
Chunhua,Weng,344,Military Personnel,19562959
Chunhua,Weng,344,Software,19562959
Chunhua,Weng,344,Software Design,19562959
Chunhua,Weng,344,United States,19562959
Chunhua,Weng,344,Computer Systems,19562959
Chunhua,Weng,344,Electronic Health Records,19562959
Chunhua,Weng,344,Hospital Information Systems,19562959
Chunhua,Weng,344,Humans,19562959
Chunhua,Weng,344,Military Medicine,19562959
Chunhua,Weng,344,Military Personnel,19562959
Chunhua,Weng,344,Software,19562959
Chunhua,Weng,344,Software Design,19562959
Chunhua,Weng,344,United States,19562959
Chunhua,Weng,344,Algorithms,18999200
Chunhua,Weng,344,Artificial Intelligence,18999200
Chunhua,Weng,344,Information Storage and Retrieval,18999200
Chunhua,Weng,344,Natural Language Processing,18999200
Chunhua,Weng,344,New York,18999200
Chunhua,Weng,344,"Pattern Recognition, Automated",18999200
Chunhua,Weng,344,Semantics,18999200
Chunhua,Weng,344,Terminology as Topic,18999200
Chunhua,Weng,344,Unified Medical Language System,18999200
Chunhua,Weng,344,Algorithms,18999200
Chunhua,Weng,344,Artificial Intelligence,18999200
Chunhua,Weng,344,Information Storage and Retrieval,18999200
Chunhua,Weng,344,Natural Language Processing,18999200
Chunhua,Weng,344,New York,18999200
Chunhua,Weng,344,"Pattern Recognition, Automated",18999200
Chunhua,Weng,344,Semantics,18999200
Chunhua,Weng,344,Terminology as Topic,18999200
Chunhua,Weng,344,Unified Medical Language System,18999200
Chunhua,Weng,344,Interdisciplinary Communication,18999104
Chunhua,Weng,344,Obesity,18999104
Chunhua,Weng,344,Research,18999104
Chunhua,Weng,344,Social Support,18999104
Chunhua,Weng,344,United States,18999104
Chunhua,Weng,344,Interdisciplinary Communication,18999104
Chunhua,Weng,344,Obesity,18999104
Chunhua,Weng,344,Research,18999104
Chunhua,Weng,344,Social Support,18999104
Chunhua,Weng,344,United States,18999104
Chunhua,Weng,344,Group Processes,18998941
Chunhua,Weng,344,Interdisciplinary Communication,18998941
Chunhua,Weng,344,Medical Informatics,18998941
Chunhua,Weng,344,Needs Assessment,18998941
Chunhua,Weng,344,New York,18998941
Chunhua,Weng,344,Professional Competence,18998941
Chunhua,Weng,344,Research,18998941
Chunhua,Weng,344,United States,18998941
Chunhua,Weng,344,Group Processes,18998941
Chunhua,Weng,344,Interdisciplinary Communication,18998941
Chunhua,Weng,344,Medical Informatics,18998941
Chunhua,Weng,344,Needs Assessment,18998941
Chunhua,Weng,344,New York,18998941
Chunhua,Weng,344,Professional Competence,18998941
Chunhua,Weng,344,Research,18998941
Chunhua,Weng,344,United States,18998941
Chunhua,Weng,344,Artificial Intelligence,17452021
Chunhua,Weng,344,Clinical Trials as Topic,17452021
Chunhua,Weng,344,Database Management Systems,17452021
Chunhua,Weng,344,Humans,17452021
Chunhua,Weng,344,Information Storage and Retrieval,17452021
Chunhua,Weng,344,Language,17452021
Chunhua,Weng,344,Medical Informatics,17452021
Chunhua,Weng,344,Natural Language Processing,17452021
Chunhua,Weng,344,Programming Languages,17452021
Chunhua,Weng,344,Semantics,17452021
Chunhua,Weng,344,Terminology as Topic,17452021
Chunhua,Weng,344,Unified Medical Language System,17452021
Chunhua,Weng,344,User-Computer Interface,17452021
Chunhua,Weng,344,Artificial Intelligence,17452021
Chunhua,Weng,344,Clinical Trials as Topic,17452021
Chunhua,Weng,344,Database Management Systems,17452021
Chunhua,Weng,344,Humans,17452021
Chunhua,Weng,344,Information Storage and Retrieval,17452021
Chunhua,Weng,344,Language,17452021
Chunhua,Weng,344,Medical Informatics,17452021
Chunhua,Weng,344,Natural Language Processing,17452021
Chunhua,Weng,344,Programming Languages,17452021
Chunhua,Weng,344,Semantics,17452021
Chunhua,Weng,344,Terminology as Topic,17452021
Chunhua,Weng,344,Unified Medical Language System,17452021
